lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,vehicle_speed_max,distance_min,bike_speed_max,level,real_risk
1,0,1,straight,stop,same_direction,0,0,0,0,0,0,0,0.000148083,1.322406,36.21624,normal,danger
2,0,1,turn_right,straight,opposite_direction,1,0,1,0,0,0,1,50.00206,6.715389,10.56045,hard,warning
4,1,0,turn_right,turn left,opposite_direction,0,0,1,0,0,0,1,30.00001,5.354537,20.52835,hard,warning
2,1,0,turn_right,stop,same_direction,0,0,0,0,0,0,0,8.158631e-07,7.955347,11.1024,normal,warning
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,20.00008,3.217058,26.77538,hard,warning
4,1,0,turn_right,turn left,opposite_direction,0,0,1,0,0,0,1,20.00038,4.993742,22.00072,hard,warning
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,50.00102,4.727917,49.9892,normal,warning
4,1,0,turn left,turn left,same_direction,0,0,0,0,0,0,0,26.00004,2.195211,28.91823,hard,warning
2,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,20.00031,4.653743,15.11968,hard,warning
4,1,0,turn_right,turn left,opposite_direction,0,0,1,0,0,0,1,23.81322,4.799952,28.63788,hard,warning
1,1,1,straight,stop,from_left,1,0,1,0,0,1,1,0.8832394,0.0,7.011931,hard,collision
2,1,1,turn_right,stop,opposite_direction,0,0,0,0,0,1,1,30.01233,5.67365,13.72072,normal,warning
2,1,1,straight,turn_right,from_right,0,0,0,0,0,0,0,10.99207,2.704025,9.886101,hard,warning
2,0,1,straight,straight,opposite_direction,1,0,1,0,0,0,1,70.00002,4.871733,7.300741,hard,warning
1,0,1,straight,stop,opposite_direction,0,0,0,0,0,0,0,0.00143859,5.247004,26.40713,hard,warning
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,20.00002,5.453548,7.794418,hard,warning
2,1,1,turn left,straight,from_left,0,0,0,0,0,1,1,50.00032,1.397762,24.15986,easy,danger
2,0,1,straight,stop,same_direction,0,0,0,0,0,0,0,0.000106602,1.659996,13.24796,easy,danger
4,1,0,turn left,turn left,same_direction,0,0,0,0,0,0,0,30.01218,2.383631,21.74838,hard,warning
3,1,1,straight,straight,same_direction,0,0,0,0,1,0,1,19.98055,8.883945,22.24349,normal,warning
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,50.00129,2.189399,5.622473,easy,warning
3,1,1,turn_right,turn left,opposite_direction,0,0,0,0,0,1,1,30.0019,5.117968,24.16709,normal,warning
1,0,1,turn_right,straight,opposite_direction,1,0,1,0,0,0,1,38.86337,6.117657,8.358892,normal,warning
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,20.82715,5.97166,19.76589,easy,warning
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,30.00049,3.389985,16.8196,hard,warning
1,0,1,stop,turn left,opposite_direction,0,0,1,0,1,0,1,20.00001,0.6993132,5.762939,normal,danger
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,20.00006,5.031545,13.4612,normal,warning
4,1,0,turn_right,turn left,opposite_direction,0,0,1,0,0,0,1,19.99987,5.110654,17.63188,hard,warning
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,50.00169,6.131048,17.85763,normal,warning
1,1,1,stop,stop,same_direction,0,0,0,0,0,0,0,50.0,1.657213,0.06857596,hard,danger
1,0,1,straight,turn_right,same_direction,0,0,0,0,0,0,0,12.64996,6.108807,9.801363,normal,warning
4,1,0,turn_right,turn_right,same_direction,0,0,0,1,0,1,1,12.84467,4.323396,24.65522,hard,warning
1,0,1,straight,straight,same_direction,0,0,0,0,1,0,1,25.68015,3.228717,5.679833,normal,warning
3,1,1,straight,straight,same_direction,0,0,0,0,1,0,1,66.04943,3.943596,22.58615,normal,warning
1,0,0,straight,stop,opposite_direction,0,0,1,0,0,0,1,8.480244e-05,1.741387,26.45151,hard,danger
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,29.38299,5.394317,11.69045,hard,warning
1,1,1,reverse,straight,opposite_direction,0,1,1,0,0,1,1,0.0001366797,9.099277,5.054736,normal,warning
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,50.00122,5.899923,18.09661,normal,warning
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,28.80021,0.9359517,52.46902,hard,danger
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,30.00009,5.720556,39.3846,hard,warning
2,1,1,turn left,straight,same_direction,0,0,1,0,1,1,1,50.01295,0.4601355,12.78872,hard,danger
4,1,0,turn_right,turn left,opposite_direction,0,0,1,0,0,0,1,30.00011,5.787498,21.06736,hard,warning
1,1,1,straight,stop,from_right,0,1,1,0,0,1,1,3.749914,7.543759,14.34991,normal,warning
1,1,1,turn left,stop,opposite_direction,0,0,1,0,0,1,1,1.664187,4.591186,26.40713,hard,warning
