ohe__lanes_1,ohe__lanes_2,ohe__lanes_3,ohe__lanes_4,ohe__is_intersection_0,ohe__is_intersection_1,ohe__is_two_way_street_0,ohe__is_two_way_street_1,ohe__bike_maneuver_reverse,ohe__bike_maneuver_stop,ohe__bike_maneuver_straight,ohe__bike_maneuver_turn left,ohe__bike_maneuver_turn_right,ohe__vehicle_maneuver_reverse,ohe__vehicle_maneuver_stop,ohe__vehicle_maneuver_straight,ohe__vehicle_maneuver_turn left,ohe__vehicle_maneuver_turn_right,ohe__maneuver_direction_from_left,ohe__maneuver_direction_from_right,ohe__maneuver_direction_opposite_direction,ohe__maneuver_direction_same_direction,ohe__sidewalk_climbs_0,ohe__sidewalk_climbs_1,ohe__running_red_light_0,ohe__running_red_light_1,ohe__drive_opposite_direction_0,ohe__drive_opposite_direction_1,ohe__bad_roundabout_0,ohe__bad_roundabout_1,ohe__driving_between_lanes_0,ohe__driving_between_lanes_1,ohe__crossings_without_priority_0,ohe__crossings_without_priority_1,ohe__is_bike_infringement_0,ohe__is_bike_infringement_1,ohe__level_easy,ohe__level_hard,ohe__level_normal,remainder__vehicle_speed_mean,remainder__vehicle_speed_min,remainder__vehicle_speed_max,remainder__distance_mean,remainder__distance_min,remainder__distance_max,remainder__bike_speed_mean,remainder__bike_speed_min,remainder__bike_speed_max,real_risk
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,19.9794443859649,19.86669,20.00006,8.37418026315789,7.661116,9.092322,13.7567352631578,13.43692,14.06627,0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,44.921103030303,44.70034,45.00301,5.985591,4.570004,9.167908,3.66159913636363,3.529787,3.891482,0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.54471641565697,6.57433e-05,3.240064,5.71064105813953,4.49085,7.19828,5.23588859302325,5.213121,5.279787,0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,19.983261,19.8667,20.00014,4.46415174285714,1.625163,9.500904,28.17838,27.71072,28.68064,1
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,17.498026519097,0.0001228672,43.46976,5.05926044342105,0.5307155,7.716038,9.70971167105263,7.903358,12.72829,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,13.9312801785714,12.83137,15.03116,5.00792362499999,3.146751,7.059736,0.0640431350714285,0.0006779687,0.7367541,0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.22647910279557,3.651216e-05,20.00111,3.7121576117647,2.267834,9.460226,5.50666959025882,0.04274083,11.44079,0
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,29.8632125,29.44002,30.01126,6.65896988888888,6.093941,8.004614,22.5400377777777,22.24854,22.66892,0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,9.01189823943662,0.2790855,24.00051,5.09115567605633,2.873254,9.413933,13.7425735211267,13.14364,14.39218,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,24.494260625,10.11708,38.95016,4.25893573863636,1.239661,7.087974,7.82149413636363,7.106119,8.53742,1
