real_risk,lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,vehicle_speed_max,bike_speed_max,level
1,3,0,1,2,1,3,0,0,0,0,0,0,38.6443,25.5313,1
0,1,1,1,0,4,1,0,1,1,0,0,1,7.97045,6.81531,2
2,4,1,0,3,3,3,0,0,0,0,0,0,26.0461,21.4998,1
2,1,1,1,2,1,2,0,1,0,0,0,1,0.000128114,21.6621,2
2,2,0,1,2,2,3,0,0,0,0,0,0,62.3086,25.9355,1
2,1,0,1,4,4,2,1,0,1,0,0,0,32.2386,11.2421,2
2,3,1,0,4,4,3,1,0,0,1,1,1,14.9964,11.2011,2
2,1,1,1,2,1,0,0,1,1,0,0,1,0.000155257,13.6178,2
1,1,0,1,2,2,2,0,0,1,0,0,0,20.0005,28.3157,2
2,1,1,1,0,2,0,0,0,0,0,1,0,20,6.46858,1
2,1,1,1,3,2,2,0,0,0,0,0,0,13.6636,17.8147,1
1,4,1,0,4,3,2,0,0,1,0,0,0,30,29.5884,1
2,2,0,1,2,2,2,0,0,0,0,0,0,50,14.5254,1
2,1,0,1,2,2,3,1,0,0,0,0,0,17.4544,4.08838,1
2,1,0,1,2,2,3,0,0,0,0,0,0,7.31994,34.0222,1
1,2,0,1,1,2,3,0,0,0,0,1,0,20.0044,3.77304,2
2,2,1,0,3,2,2,0,0,1,1,0,1,0.00591866,16.4101,0
2,1,1,0,4,1,3,0,0,0,0,0,1,8.26831e-06,32.3527,2
2,1,0,1,2,1,3,0,0,1,0,0,0,0.000135823,10.7153,1
1,2,0,1,2,2,3,0,0,0,0,0,0,25.0033,8.13268,1
2,3,0,1,2,2,3,0,0,0,0,0,0,23.223,14.7965,1
1,1,1,1,1,4,0,0,0,1,0,0,0,40.8326,6.01926,1
2,1,0,1,2,2,2,0,0,0,0,0,0,27.1259,9.83428,1
2,2,0,1,2,2,2,1,0,1,0,0,0,20.0006,21.6741,0
2,1,1,1,2,4,0,0,0,1,0,0,1,15.0312,0.736754,1
0,1,1,1,2,1,1,0,1,1,0,0,1,7.53552,26.4893,2
2,1,1,1,2,1,2,0,1,0,0,0,1,5.05924e-05,44.6978,1
0,1,0,1,2,2,3,0,0,0,0,0,1,40.9516,18.9304,2
2,1,0,1,0,2,3,1,0,0,0,0,0,50,5.20643,1
2,1,1,1,2,2,1,0,1,1,0,0,1,20.5357,38.9412,2
1,1,0,1,2,1,3,0,0,0,0,0,0,0.200118,24.8599,1
2,2,0,1,2,2,2,0,0,1,0,1,0,50,29.4937,0
2,2,1,1,1,2,0,0,0,0,0,0,0,13.459,5.67001,2
2,2,1,0,4,4,3,0,0,0,0,0,1,50.0129,6.93059,2
1,1,0,1,2,1,2,0,0,1,0,0,0,20,23.8195,1
2,1,1,1,4,1,1,1,1,0,0,0,0,17.1002,20.1552,2
2,2,0,1,2,2,3,0,0,0,0,1,0,20,15.8763,2
2,4,1,0,2,3,1,1,0,0,0,1,0,30.0005,7.2893,1
2,3,0,1,2,2,2,0,0,1,0,0,0,73.0027,45.5633,0
2,1,0,1,2,2,3,0,0,0,0,0,0,20,43.2014,1
1,4,1,0,1,3,3,0,0,0,0,1,0,47.4546,4.08303,1
2,2,0,1,2,2,3,0,0,0,0,0,0,50.0005,2.54264,1
2,1,1,1,2,2,2,0,0,0,0,0,1,2.97665e-05,14.1824,1
2,1,0,1,2,2,2,0,0,0,0,0,0,19.2887,13.4522,2
2,2,1,1,2,2,3,0,0,0,0,0,0,50.0082,11.6212,1
0,3,0,1,2,2,3,0,0,0,0,0,0,39.0294,14.0038,1
2,1,0,1,4,2,1,0,0,0,0,1,1,11.9785,16.5765,2
2,1,0,0,2,2,2,0,0,1,0,0,0,50,25.9932,1
2,2,0,1,2,2,2,0,0,1,0,0,0,50.006,11.0505,2
2,1,0,1,1,1,1,0,0,0,0,1,0,25.5886,5.23322,1
2,1,0,1,2,2,2,0,0,0,0,0,1,20,54.0937,0
2,1,0,0,2,1,3,0,0,0,0,0,0,15.4311,10.3718,2
1,3,1,1,2,2,3,0,0,0,0,1,0,77.7085,24.0203,2
2,4,1,0,1,3,0,1,0,0,0,0,0,30,4.66096,1
1,1,1,1,2,4,0,0,0,1,0,0,0,14.829,2.12682,1
2,1,1,1,3,2,3,0,0,0,0,0,1,24.0003,58.7241,1
2,1,1,1,2,2,0,0,0,1,0,0,1,31,15.3071,1
2,1,0,1,2,2,2,0,0,0,0,0,0,50,23.9245,1
2,2,0,1,2,2,3,0,0,0,0,0,0,58.3441,10.9536,1
2,1,1,1,2,2,0,0,0,0,0,0,1,7.77208,7.72769,1
2,1,1,1,0,1,1,0,1,1,0,0,1,4.12815,7.12232,2
1,1,0,1,2,2,3,0,0,0,0,0,0,50.0002,14.4874,0
2,2,0,1,3,2,2,0,0,1,0,1,0,17.572,18.546,1
2,1,1,1,1,2,3,0,0,1,0,0,0,0.000121636,5.41513,1
2,2,1,1,4,2,3,0,0,0,0,0,1,37.6766,33.707,1
1,2,0,1,2,2,3,0,0,0,0,0,0,50.1187,15.5664,1
2,1,0,1,2,2,3,0,0,0,0,0,0,50.0004,22.3267,1
1,2,0,1,1,2,3,0,0,0,0,1,0,31.6168,4.61302,2
0,1,1,1,1,4,3,0,0,0,0,0,0,21.546,7.72769,1
2,2,0,1,2,2,2,0,0,1,0,0,0,22.5665,12.8127,2
0,1,1,0,4,4,3,0,0,0,0,0,1,18.2156,42.323,1
2,1,0,1,2,2,2,0,0,0,0,0,0,21.0002,8.72478,2
2,1,0,1,1,3,2,0,0,1,0,1,0,30,5.76294,2
2,2,0,1,2,2,3,0,0,0,0,0,0,50.0017,17.7632,1
2,1,0,1,2,2,2,0,0,0,0,0,0,42.8283,25.0255,1
2,3,0,1,2,2,3,0,0,0,0,1,0,77.0004,18.5334,1
2,1,1,0,4,4,3,0,0,0,0,0,1,18.492,42.323,1
2,1,0,1,2,2,3,0,0,0,0,0,0,20,13.382,2
2,1,0,1,3,3,3,0,0,1,0,0,0,5.60972,15.7718,2
2,2,1,1,2,2,3,0,0,0,0,0,1,26.4793,18.3602,2
1,2,0,1,2,2,3,0,0,0,0,0,0,50.0015,25.3318,1
