lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,vehicle_speed_max,bike_speed_max,level,real_risk
2,yes,yes,turn left,straight,from_left,yes,no,yes,no,no,yes,53.013,3.18084,hard,warning
1,yes,yes,straight,turn left,same_direction,no,no,no,no,no,no,14.6112,38.9819,easy,warning
1,no,yes,straight,straight,same_direction,no,no,yes,no,no,no,50.0,25.7754,normal,warning
2,yes,yes,turn_right,straight,from_left,no,no,no,no,no,no,49.0036,17.4598,easy,warning
1,no,yes,straight,straight,opposite_direction,no,no,yes,no,yes,no,20.0006,25.1144,easy,warning
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,20.0,54.6539,hard,danger
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,20.0003,56.3792,easy,danger
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,50.0,23.1284,normal,warning
4,yes,no,turn left,turn left,from_left,no,no,yes,no,no,no,18.72,9.73317,hard,warning
2,yes,yes,turn left,straight,same_direction,no,no,no,no,no,yes,50.0,16.2388,hard,warning
2,yes,no,turn left,turn left,opposite_direction,yes,no,yes,yes,no,yes,30.0,17.6072,hard,danger
2,no,yes,reverse,straight,same_direction,yes,no,no,no,no,no,20.0045,9.42243,normal,warning
1,yes,yes,turn left,stop,opposite_direction,no,yes,yes,no,yes,yes,6.34948e-05,14.2905,easy,warning
1,yes,yes,turn left,straight,opposite_direction,no,no,yes,no,no,no,20.0,9.47087,hard,danger
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,49.1401,52.4469,hard,warning
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,20.0003,12.1433,hard,danger
1,yes,yes,stop,turn left,from_right,no,no,no,no,no,no,35.8737,6.5295,normal,warning
2,no,yes,straight,stop,same_direction,no,no,no,no,no,no,0.000103165,11.3353,normal,danger
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,24.0002,23.4835,hard,warning
3,no,yes,straight,stop,same_direction,no,no,no,no,no,no,38.6443,25.5313,hard,danger
