row_id,current_date_time_min,current_date_time_mean,current_date_time_max,time_mean,time_min,time_max,user_id,lanes,is_intersection,is_two_way_street,bike_maneuver,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,real_risk,risk,vehicle_id,vehicle_name,vehicle_position_x_mean,vehicle_position_y_mean,vehicle_position_z_mean,vehicle_position_x_min,vehicle_position_y_min,vehicle_position_z_min,vehicle_position_x_max,vehicle_position_y_max,vehicle_position_z_max,bike_position_x_mean,bike_position_y_mean,bike_position_z_mean,bike_position_x_min,bike_position_y_min,bike_position_z_min,bike_position_x_max,bike_position_y_max,bike_position_z_max,vehicle_speed_mean,vehicle_speed_min,vehicle_speed_max,distance_mean,distance_min,distance_max,bike_speed_mean,bike_speed_min,bike_speed_max
2024-06-28 15:30:2_vID-1554,2024-06-28 15:30:28,2024-06-28 15:30:28.859649280,2024-06-28 15:30:29,00:00:12.241947,00:00:11.681000,00:00:12.809000,218452,,,,,,,,,,,,danger,danger,-1554,SmallSedanRed(Clone)6,1071.8572807017545,16.01748245614035,667.5846736842105,1071.81,15.93147,662.2217,1071.91,16.12329,672.4351,1070.02,16.009706842105263,661.6668543859649,1070.02,15.98223,661.6642,1070.02,16.01726,661.6691,32.742613859649126,27.70136,37.7835,4.814449596491229,0.4729521,9.417802,0.22762862254385963,0.002790965,0.9356209
2024-06-28 15:30:2_vID-2524,2024-06-28 15:30:29,2024-06-28 15:30:29.000000000,2024-06-28 15:30:29,00:00:12.808999,00:00:12.809000,00:00:12.809000,218452,,,,,,,,,,,,warning,danger,-2524,SmallSedanBlue2(Clone)11,1076.002,16.34592,652.8685,1076.002,16.34592,652.8685,1076.002,16.34592,652.8685,1070.02,16.00972,661.6667,1070.02,16.00972,661.6667,1070.02,16.00972,661.6667,37.63233,37.63233,37.63233,9.144542,9.144542,9.144542,0.06414609,0.06414609,0.06414609
2024-06-28 15:30:3_vID-1554,2024-06-28 15:30:30,2024-06-28 15:30:30.000000000,2024-06-28 15:30:30,00:00:13.203158,00:00:12.832000,00:00:13.577000,218452,,,,,,,,,,,,danger,danger,-1554,SmallSedanRed(Clone)6,1071.9525789473682,16.221445789473684,657.86785,1071.912,16.12766,653.504,1071.995,16.32796,662.0107,1070.02,16.01082052631579,661.6674921052632,1070.02,16.00991,661.6668,1070.02,16.01143,661.6679,41.295234736842104,37.96378,44.62769,3.0003813368421053,0.4020452,6.904783,0.033273854,0.001059957,0.07213664
2024-06-28 15:30:3_vID-2524,2024-06-28 15:30:30,2024-06-28 15:30:30.190476032,2024-06-28 15:30:31,00:00:13.452126,00:00:12.832000,00:00:14.077000,218452,,,,,,,,,,,,warning,danger,-2524,SmallSedanBlue2(Clone)11,1075.9294761904762,16.17094253968254,660.2438238095239,1075.853,16.00799,653.0786,1076.0,16.34013,668.0321,1070.02,16.010751587301588,661.6674920634921,1070.02,16.00991,661.6668,1070.02,16.01143,661.6679,43.32686888888889,37.81004,48.84243,5.884335936507936,4.396619,8.970189,0.024897661438095235,0.0007576386,0.07213664
2024-06-28 15:30:3_vID-4076,2024-06-28 15:30:31,2024-06-28 15:30:31.600000000,2024-06-28 15:30:32,00:00:14.949200,00:00:14.405000,00:00:15.482000,218452,,,,,,,,,,,,warning,danger,-4076,SmallSedanYellow2(Clone)19,1075.929818181818,16.17083381818182,660.2487654545454,1075.857,16.01373,652.7634,1076.003,16.34887,667.7333,1070.0192363636363,16.01377418181818,661.53484,1070.018,16.01053,661.1986,1070.02,16.02062,661.6674,49.903940727272726,49.40003,50.00011,5.938000472727273,4.399316,9.232832,1.532003988110909,0.0008300706,3.679383
2024-06-28 15:30:3_vID-778,2024-06-28 15:30:31,2024-06-28 15:30:32.024999936,2024-06-28 15:30:33,00:00:15.358337,00:00:14.573000,00:00:16.160000,218452,,,,,,,,,,,,danger,danger,-778,SmallSedanGreen1(Clone)2,1071.9066500000001,16.123807,662.56098375,1071.81,15.92916,652.0704,1072.009,16.36614,672.4547,1070.0189249999999,16.020847749999998,661.20808625,1070.018,16.01058,660.3138,1070.02,16.04021,661.6673,46.396902125000004,42.17685,50.00034,3.94440419,0.406124,9.435086,3.0460625070375,0.002460563,5.806871
2024-06-28 15:31:0_vID-1554,2024-06-28 15:31:06,2024-06-28 15:31:07.375000064,2024-06-28 15:31:08,00:00:50.723490,00:00:49.674000,00:00:51.766000,218452,,,,,,,,,,,,warning,danger,-1554,SmallSedanRed(Clone)6,1076.932625,17.703815576923077,595.2554413461538,1076.511,17.67301,587.9588,1077.888,17.73342,603.5302,1081.9205673076924,17.692561346153845,599.2274288461539,1078.851,17.57479,598.8641,1084.403,17.74585,599.9313,27.370122884615384,22.69476,34.09594,6.303798048076923,5.082966,9.466105,10.015161846153847,6.698163,11.87402
2024-06-28 15:31:0_vID-2330,2024-06-28 15:31:03,2024-06-28 15:31:03.887755008,2024-06-28 15:31:05,00:00:47.205938,00:00:46.234000,00:00:48.184000,218452,,,,,,,,,,,,danger,danger,-2330,OriginalSmallSedan(Clone)10,1076.6415,17.68293755102041,600.3300693877551,1076.45,17.61864,593.2307,1077.059,17.71777,608.0956,1073.091887755102,17.563222244897958,601.0927234693878,1071.693,17.55454,599.7582,1074.884,17.57021,602.6788,27.611789285714288,24.18813,31.93297,4.54011912244898,1.862162,9.366915,8.165346173469388,7.526163,8.84964
2024-06-28 15:31:4_vID-390,2024-06-28 15:31:43,2024-06-28 15:31:43.149999872,2024-06-28 15:31:44,00:01:26.545074,00:01:26.141000,00:01:26.933000,218452,,,,,,,,,,,,warning,danger,-390,OriginalSmallSedan(Clone)0,1072.2177,17.0253845,630.79534,1072.165,16.84589,625.3925,1072.271,17.20244,636.1975,1078.339725,16.9403735,629.7000125000001,1078.251,16.87245,627.7213,1078.474,17.00557,631.7429,49.9100415,49.56669,50.00006,6.0067603,4.572976,9.067659,18.59105675,17.69459,19.47548
2024-06-28 15:31:5_vID-1166,2024-06-28 15:31:59,2024-06-28 15:31:59.000000000,2024-06-28 15:31:59,00:01:42.466583,00:01:42.103000,00:01:42.813000,218452,,,,,,,,,,,,warning,danger,-1166,SmallSedanGrey(Clone)4,1071.1288611111113,15.700806388888887,780.0327444444445,1071.114,15.70077,778.0887,1071.144,15.70085,781.9767,1076.6365277777777,15.577901666666666,776.7492361111111,1076.261,15.57767,772.5299,1077.267,15.57813,780.9459,20.0,20.0,20.0,5.727664000000001,4.21946,9.244286,43.65942333333333,43.4003,43.82018
2024-06-28 15:31:5_vID-2718,2024-06-28 15:31:59,2024-06-28 15:31:59.000000000,2024-06-28 15:31:59,00:01:42.654646,00:01:42.479000,00:01:42.813000,218452,,,,,,,,,,,,warning,danger,-2718,SmallSedanGreen1(Clone)12,1071.1711176470587,15.70130588235294,785.511894117647,1071.164,15.70104,784.6252,1071.178,15.70161,786.3974,1076.905294117647,15.577796470588236,779.036605882353,1076.602,15.57767,777.1181,1077.267,15.57784,780.9459,19.93329411764706,19.58,20.0,7.248786588235294,5.627308,9.249195,43.74688647058824,43.71793,43.82018
2024-06-28 15:31:5_vID-3300,2024-06-28 15:31:54,2024-06-28 15:31:55.846153984,2024-06-28 15:31:57,00:01:39.156167,00:01:37.756000,00:01:40.558000,218452,,,,,,,,,,,,warning,danger,-3300,SmallSedanPurple(Clone)15,1074.5523706293707,15.670925244755244,731.585672027972,1069.421,15.57316,712.0583,1075.422,15.70114,749.6012,1077.1745314685315,15.577504335664335,738.3980237762238,1076.468,15.57252,722.8947,1077.718,15.57859,754.3464,49.895774825174826,49.54566,50.00244,5.971669797202797,3.593017,9.572861,39.89156237762238,38.23376,41.61725
2024-06-28 15:32:0_vID-1166,2024-06-28 15:32:00,2024-06-28 15:32:00.000000000,2024-06-28 15:32:00,00:01:42.906500,00:01:42.854000,00:01:42.979000,218452,,,,,,,,,,,,warning,warning,-1166,SmallSedanGrey(Clone)4,1071.11,15.70084125,777.588875,1071.107,15.70083,777.2001,1071.113,15.70086,777.9777,1077.495875,15.5772725,782.0183375,1077.318,15.57691,781.1838,1077.671,15.5776,782.8542,20.0,20.0,20.0,6.295355625,5.485647,7.164294,43.89775125,43.83775,43.95143
2024-06-28 15:32:0_vID-2718,2024-06-28 15:32:00,2024-06-28 15:32:00.000000000,2024-06-28 15:32:00,00:01:43.067750,00:01:42.854000,00:01:43.315000,218452,,,,,,,,,,,,warning,warning,-2718,SmallSedanGreen1(Clone)12,1071.153625,15.700799166666668,783.2366041666668,1071.144,15.70071,781.9592,1071.163,15.70101,784.5142,1077.8372083333334,15.577514166666667,783.94035,1077.318,15.57671,781.1838,1078.237,15.57967,786.7167,20.0,20.0,20.0,5.6303408333333325,5.074205,7.041935,43.922074583333334,43.83775,43.96259
2024-06-28 15:32:0_vID-2912,2024-06-28 15:32:07,2024-06-28 15:32:08.121495552,2024-06-28 15:32:09,00:01:51.459532,00:01:50.394000,00:01:52.511000,218452,,,,,,,,,,,,danger,warning,-2912,SmallSedanGreen2(Clone)13,1075.9483177570094,16.57863710280374,891.6233242990654,1075.56,16.57167,887.7434,1076.007,16.59427,897.2524,1078.7770093457943,16.452577009345795,893.9764990654206,1077.344,16.43031,879.5419,1079.524,16.45844,908.1289,16.162423560747662,6.86415,25.28709,4.764429420560748,1.352633,9.522454,49.07935607476636,48.21797,49.81987
