lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,vehicle_speed_max,distance_min,bike_speed_max,level,real_risk
4,1,0,4,3,2,0,0,1,0,0,0,1,23.81322,4.799952,28.63788,1,2
1,1,1,2,1,0,1,0,1,0,0,1,1,0.8832394,0.0,7.011931,1,0
2,1,1,4,1,2,0,0,0,0,0,1,1,30.01233,5.67365,13.72072,2,2
2,1,1,2,4,1,0,0,0,0,0,0,0,10.99207,2.704025,9.886101,1,2
2,0,1,2,2,2,1,0,1,0,0,0,1,70.00002,4.871733,7.300741,1,2
1,0,1,2,1,2,0,0,0,0,0,0,0,0.00143859,5.247004,26.40713,1,2
1,0,1,2,2,3,0,0,0,0,0,0,0,20.00002,5.453548,7.794418,1,2
2,1,1,3,2,0,0,0,0,0,0,1,1,50.00032,1.397762,24.15986,0,1
2,0,1,2,1,3,0,0,0,0,0,0,0,0.000106602,1.659996,13.24796,0,1
4,1,0,3,3,3,0,0,0,0,0,0,0,30.01218,2.383631,21.74838,1,2
3,1,1,2,2,3,0,0,0,0,1,0,1,19.98055,8.883945,22.24349,2,2
1,0,1,2,2,2,0,0,0,0,0,0,0,50.00129,2.189399,5.622473,0,2
3,1,1,4,3,2,0,0,0,0,0,1,1,30.0019,5.117968,24.16709,2,2
1,0,1,4,2,2,1,0,1,0,0,0,1,38.86337,6.117657,8.358892,2,2
1,0,1,2,2,2,0,0,0,0,0,0,0,20.82715,5.97166,19.76589,0,2
2,0,1,2,2,3,0,0,0,0,0,0,0,30.00049,3.389985,16.8196,1,2
1,0,1,1,3,2,0,0,1,0,1,0,1,20.00001,0.6993132,5.762939,2,1
1,0,1,2,2,2,0,0,0,0,0,0,0,20.00006,5.031545,13.4612,2,2
4,1,0,4,3,2,0,0,1,0,0,0,1,19.99987,5.110654,17.63188,1,2
1,0,1,2,2,2,0,0,0,0,0,0,0,50.00169,6.131048,17.85763,2,2
1,1,1,1,1,3,0,0,0,0,0,0,0,50.0,1.657213,0.06857596,1,1
1,0,1,2,4,3,0,0,0,0,0,0,0,12.64996,6.108807,9.801363,2,2
4,1,0,4,4,3,0,0,0,1,0,1,1,12.84467,4.323396,24.65522,1,2
1,0,1,2,2,3,0,0,0,0,1,0,1,25.68015,3.228717,5.679833,2,2
3,1,1,2,2,3,0,0,0,0,1,0,1,66.04943,3.943596,22.58615,2,2
1,0,0,2,1,2,0,0,1,0,0,0,1,8.480244e-05,1.741387,26.45151,1,1
1,0,1,2,2,2,0,0,0,0,0,0,0,29.38299,5.394317,11.69045,1,2
1,1,1,0,2,2,0,1,1,0,0,1,1,0.0001366797,9.099277,5.054736,2,2
1,0,1,2,2,2,0,0,0,0,0,0,0,50.00122,5.899923,18.09661,2,2
1,0,1,2,2,3,0,0,0,0,0,0,0,28.80021,0.9359517,52.46902,1,1
1,0,1,2,2,2,0,0,0,0,0,0,0,30.00009,5.720556,39.3846,1,2
2,1,1,3,2,3,0,0,1,0,1,1,1,50.01295,0.4601355,12.78872,1,1
4,1,0,4,3,2,0,0,1,0,0,0,1,30.00011,5.787498,21.06736,1,2
1,1,1,2,1,1,0,1,1,0,0,1,1,3.749914,7.543759,14.34991,2,2
1,1,1,3,1,2,0,0,1,0,0,1,1,1.664187,4.591186,26.40713,1,2
1,1,1,2,1,3,0,1,0,0,0,1,1,6.800191,2.291196,48.74682,0,2
1,1,0,4,4,3,0,0,0,0,0,1,1,18.492,5.755971,42.323,1,2
1,1,1,3,3,1,0,1,0,0,1,1,1,40.94417,1.5974,8.737995,1,1
1,1,1,3,3,3,0,0,1,0,0,1,1,0.0001678917,4.793835,13.51379,1,2
2,0,1,2,2,2,0,0,0,0,0,0,0,34.8768,3.493667,17.61955,2,2
1,1,1,2,2,1,0,1,1,0,0,1,1,20.5357,6.135647,38.94119,2,2
3,0,1,2,2,3,0,0,0,0,0,0,0,27.26408,6.197747,18.30155,1,2
1,0,1,2,2,2,0,0,0,0,0,0,0,50.00012,4.585746,1.385442,1,2
1,1,1,2,1,1,0,1,1,0,0,1,1,2.629893,6.725158,13.61779,2,2
2,1,0,4,4,3,0,0,0,0,0,1,1,50.01472,0.4768142,9.03686,2,1
1,0,1,2,1,3,0,0,0,0,0,0,0,8.399938e-05,5.588759,5.867684,1,2
1,1,1,2,2,1,1,1,1,0,0,1,1,10.62016,4.846635,8.809587,2,2
2,0,1,0,2,2,0,0,0,0,0,0,0,20.0113,1.353993,19.62477,2,1
2,0,1,2,2,3,0,0,0,0,0,0,0,70.00007,1.64755,13.53329,2,1
2,0,1,2,2,3,0,0,0,0,0,0,0,50.00123,1.093189,20.39791,0,1
1,0,0,2,3,3,1,0,0,0,0,0,1,30.00003,7.208991,14.42774,2,2
2,0,1,0,2,3,0,0,0,0,0,0,0,22.9809,9.386915,15.49754,2,2
1,0,1,2,2,2,0,0,0,0,1,0,1,10.03665,4.091342,17.37392,2,2
1,0,1,2,2,3,0,0,0,0,0,0,0,50.00016,0.6179116,14.48738,0,1
1,1,1,4,2,1,0,1,0,0,0,1,1,14.21124,1.32243,20.33642,2,1
2,1,1,2,2,2,0,0,1,0,1,1,0,17.71961,5.66853,12.36954,2,2
2,0,1,2,2,2,0,0,1,0,0,0,1,45.80561,5.765572,36.96834,1,2
2,0,1,2,2,3,0,0,0,0,0,0,0,25.00014,6.460978,8.241125,1,2
2,0,1,2,2,2,1,0,1,0,0,0,1,50.00001,2.61204,23.2595,0,2
1,0,1,0,2,3,1,0,0,0,0,0,1,50.00001,3.143896,5.206435,1,2
1,0,1,2,2,2,0,0,0,0,0,0,0,5.220256,5.070563,24.16677,1,2
1,1,0,4,1,2,0,0,1,0,1,1,1,0.000187968,0.0,13.12836,1,0
4,1,0,3,3,0,0,0,1,0,1,0,1,30.00001,2.847159,7.536542,1,2
2,1,1,1,3,0,0,0,0,0,0,0,0,5.67491e-05,5.306969,11.02115,2,2
2,0,1,2,2,3,0,0,0,0,0,0,0,50.00068,0.01157141,50.79708,1,1
1,0,1,4,2,2,0,0,1,0,1,0,1,50.01419,0.979903,26.17937,0,1
