row_id,current_date_time_min,current_date_time_mean,current_date_time_max,time_mean,time_min,time_max,user_id,lanes,is_intersection,is_two_way_street,bike_maneuver,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,real_risk,risk,vehicle_id,vehicle_name,vehicle_position_x_mean,vehicle_position_y_mean,vehicle_position_z_mean,bike_position_x_mean,bike_position_y_mean,bike_position_z_mean,vehicle_speed_mean,vehicle_speed_min,vehicle_speed_max,distance_mean,distance_min,distance_max,bike_speed_mean,bike_speed_min,bike_speed_max
2024-06-27 20:04:0_vID-1166,2024-06-27 20:04:05,2024-06-27 20:04:05.000000000,2024-06-27 20:04:05,00:00:14.084263,00:00:13.805000,00:00:14.252000,985691,,,,,,,,,,,,warning,warning,-1166,SmallSedanGrey(Clone)4,1071.9920000000002,16.316242631578945,653.8952736842106,1070.02,16.03428,661.6678421052632,10.361263157894737,10.0,10.72168,6.524326894736842,6.025082,7.032694,1.800852347368421,0.0,4.314773
2024-06-27 20:04:0_vID-1942,2024-06-27 20:04:09,2024-06-27 20:04:09.000000000,2024-06-27 20:04:09,00:00:18.170365,00:00:17.759000,00:00:18.557000,985691,,,,,,,,,,,,warning,danger,-1942,SmallSedanYellow1(Clone)8,1075.9531463414633,16.223313170731707,657.877368292683,1070.023756097561,16.02897243902439,660.8246414634147,49.91067365853659,49.40004,50.00013,5.876537487804878,4.408637,9.267266,4.433830146341464,3.102181,5.590946
2024-06-27 20:04:0_vID-584,2024-06-27 20:04:05,2024-06-27 20:04:05.477612032,2024-06-27 20:04:06,00:00:14.562507,00:00:13.805000,00:00:15.217000,985691,,,,,,,,,,,,warning,warning,-584,SmallSedanBlue2(Clone)1,1075.9079402985074,16.11928462686567,662.436091044776,1070.02,16.017916268656716,661.6672850746269,29.408665223880597,25.0,33.82547,5.190206119402985,4.39668,7.188228,0.649925330522388,0.0,4.314773
2024-06-27 20:04:0_vID-778,2024-06-27 20:04:06,2024-06-27 20:04:07.300000000,2024-06-27 20:04:08,00:00:16.325012,00:00:15.531000,00:00:17.117000,985691,,,,,,,,,,,,warning,danger,-778,SmallSedanGreen1(Clone)2,1075.9301625,16.172719,660.17174125,1070.02,16.011048125,661.6499074999999,34.8203465,31.10844,38.53133,5.94875295,4.396271,9.211413,0.1451649242,0.001059957,1.038033
2024-06-27 20:04:1_vID-1360,2024-06-27 20:04:16,2024-06-27 20:04:16.754716928,2024-06-27 20:04:17,00:00:25.851528,00:00:25.332000,00:00:26.362000,985691,,,,,,,,,,,,warning,danger,-1360,SmallSedanPurple(Clone)5,1076.1336981132076,16.742943396226416,639.4449264150944,1069.329679245283,16.575566226415095,640.7430905660378,35.950187735849056,35.76002,36.00006,6.428447132075472,5.307535,9.066928,11.046210377358491,10.94616,11.10572
2024-06-27 20:04:1_vID-1942,2024-06-27 20:04:10,2024-06-27 20:04:10.000000000,2024-06-27 20:04:10,00:00:18.687818,00:00:18.593000,00:00:18.788000,985691,,,,,,,,,,,,warning,warning,-1942,SmallSedanYellow1(Clone)8,1075.8824545454545,16.063326363636364,665.0807545454546,1070.0274545454545,16.044998181818183,660.0907454545454,49.85275272727272,49.40018,50.00009,6.230002363636363,5.306558,7.269966,5.915964272727273,5.645623,6.177502
2024-06-27 20:04:5_vID-1748,2024-06-27 20:04:56,2024-06-27 20:04:56.040816384,2024-06-27 20:04:57,00:01:05.140653,00:01:04.666000,00:01:05.614000,985691,,,,,,,,,,,,warning,danger,-1748,SmallSedanWhite(Clone)7,1198.2438163265306,17.770270204081633,578.0739183673469,1196.89,17.647086530612246,585.2116510204082,19.99401387755102,19.86667,20.0,6.55043812244898,5.610398,8.811849,25.56582693877551,25.38982,25.69459
2024-06-27 20:04:5_vID-1942,2024-06-27 20:04:50,2024-06-27 20:04:50.136363776,2024-06-27 20:04:51,00:00:59.269704,00:00:58.846000,00:00:59.709000,985691,,,,,,,,,,,,warning,danger,-1942,SmallSedanYellow1(Clone)8,1158.6515227272728,17.732864545454547,582.2931431818182,1157.293181818182,17.769356363636362,586.4126045454545,49.77636863636364,49.4,50.00001,4.939935409090909,2.61204,9.382212,23.07207909090909,22.88392,23.2595
2024-06-27 20:04:5_vID-2136,2024-06-27 20:04:53,2024-06-27 20:04:53.377777920,2024-06-27 20:04:54,00:01:02.480400,00:01:02.048000,00:01:02.912000,985691,,,,,,,,,,,,danger,danger,-2136,SmallSedanYellow2(Clone)9,1179.8277111111113,17.762732444444445,582.1595377777777,1178.4219333333333,17.638354444444445,585.6158533333333,49.86800488888888,49.4,50.00001,4.650858733333333,1.94479,9.5661,24.39344022222222,24.20055,24.59147
2024-06-27 20:04:5_vID-972,2024-06-27 20:04:58,2024-06-27 20:04:58.457831424,2024-06-27 20:04:59,00:01:07.540951,00:01:06.726000,00:01:08.369000,985691,,,,,,,,,,,,warning,danger,-972,SmallSedanGreen2(Clone)3,1214.5987710843374,17.701005060240966,582.1027036144578,1213.6829156626507,17.80873481927711,586.6700831325302,16.502756746987952,14.37384,18.84554,5.264272939759036,3.124404,9.368595,21.528416891566266,8.545208,26.3329
