row_id,current_date_time_min,current_date_time_mean,current_date_time_max,time_mean,time_min,time_max,user_id,lanes,is_intersection,is_two_way_street,bike_maneuver,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,real_risk,risk,vehicle_id,vehicle_name,vehicle_position_x_mean,vehicle_position_y_mean,vehicle_position_z_mean,bike_position_x_mean,bike_position_y_mean,bike_position_z_mean,vehicle_speed_mean,vehicle_speed_min,vehicle_speed_max,distance_mean,distance_min,distance_max,bike_speed_mean,bike_speed_min,bike_speed_max
2024-06-27 23:13:2_vID-2718,2024-06-27 23:13:25,2024-06-27 23:13:25.969999872,2024-06-27 23:13:27,00:00:10.866120,00:00:09.868000,00:00:11.846000,191416,,,,,,,,,,,,warning,danger,-2718,SmallSedanGreen1(Clone)12,1075.93222,16.1769887,659.974978,1070.02,16.0108977,661.667466,27.9469708,23.62127,32.57368,5.98542646,4.396436,9.303853,0.07169122807,0.001059957,0.3111679
2024-06-27 23:13:2_vID-3300,2024-06-27 23:13:24,2024-06-27 23:13:25.441176320,2024-06-27 23:13:26,00:00:10.343921,00:00:09.222000,00:00:11.371000,191416,,,,,,,,,,,,danger,danger,-3300,SmallSedanPurple(Clone)15,1071.9067647058823,16.120598921568625,662.5499931372549,1070.02,16.01545156862745,661.6673352941176,30.365422450980393,25.0,35.72441,3.4427044401960787,0.3992661,7.599771,0.44059071395098043,0.0,4.314773
2024-06-27 23:13:2_vID-4076,2024-06-27 23:13:29,2024-06-27 23:13:29.000000000,2024-06-27 23:13:29,00:00:14.374499,00:00:14.365000,00:00:14.384000,191416,,,,,,,,,,,,warning,danger,-4076,SmallSedanYellow2(Clone)19,1076.0124999999998,16.37525,651.76985,1070.02,16.035055,660.5649,20.993589999999998,20.98733,20.99985,9.148178999999999,9.089094,9.207264,4.5391325,4.505651,4.572614
2024-06-27 23:13:2_vID-584,2024-06-27 23:13:24,2024-06-27 23:13:25.278481152,2024-06-27 23:13:26,00:00:10.111189,00:00:09.222000,00:00:10.899000,191416,,,,,,,,,,,,warning,warning,-584,SmallSedanBlue2(Clone)1,1075.9079367088607,16.11910987341772,662.450606329114,1070.02,16.016714050632913,661.667229113924,24.839738227848102,21.5,28.18872,5.185443506329114,4.396793,7.168814,0.5603554258860759,0.0,4.314773
2024-06-27 23:13:2_vID-972,2024-06-27 23:13:28,2024-06-27 23:13:28.980769280,2024-06-27 23:13:29,00:00:13.887865,00:00:13.376000,00:00:14.384000,191416,,,,,,,,,,,,warning,danger,-972,SmallSedanGreen2(Clone)3,1075.9788076923078,16.285921923076923,655.2185365384614,1070.02,16.02480576923077,661.0247576923077,20.03303173076923,18.97084,21.00002,6.938267192307692,4.917446,9.218731,2.6245367653846157,0.4843579,4.572614
2024-06-27 23:13:3_vID-4076,2024-06-27 23:13:30,2024-06-27 23:13:30.510204160,2024-06-27 23:13:31,00:00:15.389418,00:00:14.407000,00:00:16.363000,191416,,,,,,,,,,,,warning,danger,-4076,SmallSedanYellow2(Clone)19,1075.956581632653,16.230940408163264,657.5489887755102,1070.0267959183675,16.075435816326532,658.8138418367347,20.795507857142855,20.34034,21.00016,5.871707551020408,4.421187,8.973873,6.993962928571428,4.638967,8.724782
2024-06-27 23:13:3_vID-972,2024-06-27 23:13:30,2024-06-27 23:13:30.169491456,2024-06-27 23:13:31,00:00:14.999220,00:00:14.407000,00:00:15.584000,191416,,,,,,,,,,,,warning,warning,-972,SmallSedanGreen2(Clone)3,1075.9168305084745,16.137063559322034,661.6019389830509,1070.0237966101695,16.0568193220339,659.5960864406779,20.957082033898306,20.86003,21.00008,5.185334016949152,4.410733,7.219604,6.219021525423729,4.638967,7.512846
2024-06-27 23:13:5_vID-1554,2024-06-27 23:13:58,2024-06-27 23:13:58.727272704,2024-06-27 23:13:59,00:00:43.518969,00:00:43.185000,00:00:43.854000,191416,,,,,,,,,,,,warning,danger,-1554,SmallSedanRed(Clone)6,1072.3952727272729,17.535205454545455,612.7160515151515,1079.8035454545454,17.43381878787879,611.8392818181818,49.91089515151515,49.4001,50.00027,6.654418636363636,5.85816,8.565029,14.014817878787879,13.4312,14.59934
2024-06-27 23:13:5_vID-3882,2024-06-27 23:13:52,2024-06-27 23:13:52.129629696,2024-06-27 23:13:53,00:00:36.989296,00:00:36.455000,00:00:37.534000,191416,,,,,,,,,,,,warning,danger,-3882,SmallSedanYellow1(Clone)18,1072.5268518518517,17.68924962962963,599.279462962963,1078.2263148148147,17.58237574074074,597.1937037037037,49.864,49.19627,50.00008,5.9568175,4.390851,9.405813,6.209832555555556,6.161597,6.266449
2024-06-27 23:14:1_vID-2330,2024-06-27 23:14:14,2024-06-27 23:14:15.529850624,2024-06-27 23:14:17,00:01:00.400044,00:00:59.107000,00:01:01.735000,191416,,,,,,,,,,,,collision,danger,-2330,OriginalSmallSedan(Clone)10,1079.4716791044775,15.628956343283582,748.9987164179104,1078.6411044776119,15.579098134328358,747.2084141791045,29.838991268656716,18.78595,50.30584,2.5181600118656715,0.0,9.010919,13.469508716417911,6.60083,43.10247
2024-06-27 23:14:1_vID-2524,2024-06-27 23:14:14,2024-06-27 23:14:14.210526464,2024-06-27 23:14:15,00:00:59.150157,00:00:58.772000,00:00:59.524000,191416,,,,,,,,,,,,warning,danger,-2524,SmallSedanBlue2(Clone)11,1072.9599999999998,15.608052105263159,744.3271500000001,1076.3827105263158,15.57805105263158,742.9654131578948,46.89228394736842,46.68668,47.00098,4.688155552631579,2.388205,8.474776,40.07911584210526,9.079739,43.10247
2024-06-27 23:14:1_vID-3494,2024-06-27 23:14:12,2024-06-27 23:14:12.743589888,2024-06-27 23:14:13,00:00:57.559435,00:00:57.182000,00:00:57.937000,191416,,,,,,,,,,,,warning,danger,-3494,SmallSedanRed(Clone)16,1071.2656923076922,15.698500769230769,726.0344538461538,1076.3570256410255,15.57383076923077,724.5356794871796,36.003332307692304,32.58335,39.42333,5.473109846153846,3.582602,9.294721,40.82280282051282,40.37207,41.27534
2024-06-27 23:14:4_vID-3494,2024-06-27 23:14:41,2024-06-27 23:14:41.488371968,2024-06-27 23:14:42,00:01:26.370953,00:01:25.947000,00:01:26.781000,191416,,,,,,,,,,,,warning,warning,-3494,SmallSedanRed(Clone)16,1086.114418604651,16.553533255813953,905.7712209302325,1081.3694186046512,16.56266465116279,900.5664441860465,24.727150465116278,24.10112,25.32622,6.116941372093024,5.551945,7.199432,35.22135418604651,34.67099,35.77158
2024-06-27 23:14:5_vID-1554,2024-06-27 23:14:54,2024-06-27 23:14:54.000000000,2024-06-27 23:14:54,00:01:39.086370,00:01:38.838000,00:01:39.341000,191416,,,,,,,,,,,,warning,danger,-1554,SmallSedanRed(Clone)6,1075.0724074074076,5.231718925925925,1066.450074074074,1080.8013703703703,5.1461922592592595,1065.148037037037,42.55180333333333,40.20387,44.89209,5.818523777777778,4.270615,8.916373,62.83414074074074,62.63579,62.9474
2024-06-27 23:15:1_vID-1942,2024-06-27 23:15:17,2024-06-27 23:15:17.170212864,2024-06-27 23:15:18,00:02:02.084489,00:02:01.605000,00:02:02.576000,191416,,,,,,,,,,,,warning,danger,-1942,SmallSedanYellow1(Clone)8,1145.5876808510639,7.398216723404255,1101.8562978723405,1144.8518085106384,7.145086234042553,1109.4252127659574,49.884449574468086,49.4054,50.00599,6.720115404255319,6.034851,8.478418,7.960811978723404,6.71471,8.999524
2024-06-27 23:15:1_vID-2718,2024-06-27 23:15:17,2024-06-27 23:15:18.000000000,2024-06-27 23:15:19,00:02:02.894013,00:02:01.436000,00:02:04.388000,191416,,,,,,,,,,,,danger,danger,-2718,SmallSedanGreen1(Clone)12,1143.6979932432434,7.207052418918918,1105.843472972973,1142.6782567567568,6.827319864864865,1108.9373716216217,30.951160472972973,30.79376,31.00445,4.130760371621622,1.544158,9.472749,10.130255162162161,6.71471,14.35551
2024-06-27 23:15:2_vID-2718,2024-06-27 23:15:20,2024-06-27 23:15:20.000000000,2024-06-27 23:15:20,00:02:04.524071,00:02:04.389000,00:02:04.640000,191416,,,,,,,,,,,,warning,warning,-2718,SmallSedanGreen1(Clone)12,1129.8492857142858,5.584659142857142,1105.7475714285715,1137.561357142857,6.154167214285715,1107.8452857142856,30.995044285714282,30.98178,30.99954,6.513919642857142,5.960251,7.068069,14.798090714285715,14.41447,15.18185
2024-06-27 23:15:3_vID-2330,2024-06-27 23:15:37,2024-06-27 23:15:38.347368448,2024-06-27 23:15:39,00:02:23.212747,00:02:22.277000,00:02:24.133000,191416,,,,,,,,,,,,warning,danger,-2330,OriginalSmallSedan(Clone)10,1119.0072842105262,5.157358631578948,1104.8483894736842,1116.7572105263157,4.992623284210526,1109.0865894736842,20.560227684210528,18.39025,22.56649,5.072750357894737,2.70399,9.501287,12.025144736842106,11.08711,12.81273
2024-06-27 23:15:3_vID-3688,2024-06-27 23:15:37,2024-06-27 23:15:37.735848960,2024-06-27 23:15:39,00:02:22.605556,00:02:21.543000,00:02:23.642000,191416,,,,,,,,,,,,danger,danger,-3688,SmallSedanWhite(Clone)17,1116.1730849056603,5.114510264150944,1105.6412075471696,1114.7801132075472,4.969474688679245,1109.0976981132076,19.958718773584906,19.86669,20.00042,4.64832416981132,1.966433,9.483497,11.399914905660376,10.10446,12.41368
2024-06-27 23:15:4_vID-1554,2024-06-27 23:15:43,2024-06-27 23:15:43.657894656,2024-06-27 23:15:44,00:02:28.513500,00:02:28.155000,00:02:28.879000,191416,,,,,,,,,,,,warning,danger,-1554,SmallSedanRed(Clone)6,1136.275105263158,6.143375236842106,1101.794052631579,1135.1214210526316,5.881040736842105,1108.8598684210526,49.89497,49.40192,50.00599,6.5029235000000005,5.566882,8.729147,10.321513157894737,9.565987,11.05052
2024-06-27 23:15:4_vID-1942,2024-06-27 23:15:40,2024-06-27 23:15:40.660377344,2024-06-27 23:15:41,00:02:25.553603,00:02:25.036000,00:02:26.067000,191416,,,,,,,,,,,,danger,danger,-1942,SmallSedanYellow1(Clone)8,1126.3651320754716,5.417038641509434,1105.7215094339622,1125.0666981132076,5.2063588679245285,1109.0113773584906,49.89946490566038,49.4003,50.00339,4.548314849056604,1.798661,9.433523,13.219606603773585,13.18707,13.24659
2024-06-27 23:16:0_vID-3106,2024-06-27 23:16:04,2024-06-27 23:16:06.612403200,2024-06-27 23:16:09,00:02:51.508046,00:02:48.942000,00:02:54.077000,191416,,,,,,,,,,,,danger,danger,-3106,SmallSedanGrey(Clone)14,1101.5786434108527,5.02528603875969,1105.5334457364343,1100.2146472868217,4.9221097558139535,1103.2470116279069,19.92729868217054,19.08368,20.01297,4.1193934565891475,0.9260073,9.452838,6.858681996124031,6.487256,7.222858
2024-06-27 23:16:1_vID-1942,2024-06-27 23:16:18,2024-06-27 23:16:18.777777664,2024-06-27 23:16:19,00:03:03.691203,00:03:03.168000,00:03:04.214000,191416,,,,,,,,,,,,warning,danger,-1942,SmallSedanYellow1(Clone)8,1091.6483518518519,4.969601962962963,1105.503351851852,1090.2247592592594,4.921121685185185,1101.2809444444445,49.84135222222222,49.40012,50.01277,5.0112645925925925,2.738081,9.298678,9.224751148148147,8.127207,10.20321
2024-06-27 23:16:4_vID-1942,2024-06-27 23:16:45,2024-06-27 23:16:45.511111168,2024-06-27 23:16:46,00:03:30.431155,00:03:29.554000,00:03:31.322000,191416,,,,,,,,,,,,warning,danger,-1942,SmallSedanYellow1(Clone)8,1113.1920111111112,5.111221766666667,1105.6164333333334,1112.2339000000002,4.948677388888889,1100.8863222222221,49.955867222222224,49.40018,50.00089,5.204560488888888,3.1523,9.312529,15.748189444444446,15.25668,16.07994
2024-06-27 23:16:5_vID-3688,2024-06-27 23:16:59,2024-06-27 23:16:59.000000000,2024-06-27 23:16:59,00:03:44.017432,00:03:43.654000,00:03:44.361000,191416,,,,,,,,,,,,warning,danger,-3688,SmallSedanWhite(Clone)17,1094.616189189189,4.976357054054054,1101.460108108108,1085.9997297297298,4.921309513513513,1101.7047567567568,17.58520518918919,9.988092,20.00169,7.121974594594595,5.067012,9.495654,5.672265027027027,4.727642,6.534957
