row_id,current_date_time_min,current_date_time_mean,current_date_time_max,time_mean,time_min,time_max,user_id,lanes,is_intersection,is_two_way_street,bike_maneuver,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,real_risk,risk,vehicle_id,vehicle_name,vehicle_position_x_mean,vehicle_position_y_mean,vehicle_position_z_mean,vehicle_position_x_min,vehicle_position_y_min,vehicle_position_z_min,vehicle_position_x_max,vehicle_position_y_max,vehicle_position_z_max,bike_position_x_mean,bike_position_y_mean,bike_position_z_mean,bike_position_x_min,bike_position_y_min,bike_position_z_min,bike_position_x_max,bike_position_y_max,bike_position_z_max,vehicle_speed_mean,vehicle_speed_min,vehicle_speed_max,distance_mean,distance_min,distance_max,bike_speed_mean,bike_speed_min,bike_speed_max
2024-06-27 19:07:1_vID-1554,2024-06-27 19:07:14,2024-06-27 19:07:14.652174080,2024-06-27 19:07:15,00:00:16.121376,00:00:15.440000,00:00:16.814000,983228,,,,,,,,,,,,danger,danger,-1554,SmallSedanRed(Clone)6,1071.90184057971,16.1133115942029,662.9873579710145,1071.81,15.93238,653.5859,1071.994,16.3262,672.3986,1070.02,16.010652753623187,661.6675,1070.02,16.01064,661.6675,1070.02,16.01066,661.6675,49.799475072463764,49.39999,50.0004,3.8898778623188406,0.400388,9.379513,0.0003755986679710145,8.236697e-05,0.0008404105
2024-06-27 19:07:1_vID-778,2024-06-27 19:07:11,2024-06-27 19:07:12.056338176,2024-06-27 19:07:13,00:00:13.492232,00:00:12.064000,00:00:14.907000,983228,,,,,,,,,,,,danger,danger,-778,SmallSedanGreen1(Clone)2,1071.8969154929578,16.102318873239437,663.5498661971832,1071.809,15.92877,653.3617,1071.997,16.33006,672.5674,1070.02,16.010589225352113,661.6674049295775,1070.02,16.00887,661.6664,1070.02,16.01143,661.6679,24.487341830985915,19.97415,29.00174,4.088028276056338,0.3990355,9.547048,0.015538046686619717,0.0003648072,0.07213664
2024-06-27 19:07:2_vID-1360,2024-06-27 19:07:25,2024-06-27 19:07:25.357142784,2024-06-27 19:07:26,00:00:26.749071,00:00:26.190000,00:00:27.298000,983228,,,,,,,,,,,,warning,danger,-1360,SmallSedanPurple(Clone)5,1075.928875,16.168960714285713,660.3394910714286,1075.854,16.00949,652.7121,1076.004,16.3495,667.9664,1070.02,16.01066,661.6675000000001,1070.02,16.01066,661.6675,1070.02,16.01066,661.6675,49.92764142857143,49.54004,50.0001,5.911492928571429,4.398225,9.27591,0.0001995104392857143,0.0001888106,0.0002542619
2024-06-27 19:07:2_vID-1748,2024-06-27 19:07:22,2024-06-27 19:07:23.450867200,2024-06-27 19:07:25,00:00:24.858971,00:00:23.135000,00:00:26.579000,983228,,,,,,,,,,,,danger,danger,-1748,SmallSedanWhite(Clone)7,1071.904739884393,16.114417861271676,662.9604433526011,1071.811,15.93007,653.417,1071.998,16.32854,672.5068,1070.02,16.010659595375724,661.6675,1070.02,16.01065,661.6675,1070.02,16.01066,661.6675,19.978057514450867,19.86665,20.00022,3.9148391011560695,0.4019771,9.486502,0.00020046677861271676,0.0001831852,0.0002516713
2024-06-27 19:08:0_vID-2136,2024-06-27 19:08:00,2024-06-27 19:08:00.793103616,2024-06-27 19:08:02,00:01:02.231838,00:01:01.369000,00:01:03.082000,983228,,,,,,,,,,,,warning,danger,-2136,SmallSedanYellow2(Clone)9,1089.5324712643678,17.654384942528736,570.6692022988506,1077.629,17.61042,570.6252,1101.442,17.74235,570.721,1089.8321149425287,17.592640344827586,576.91561954023,1085.104,17.5925,576.2999,1094.786,17.59281,577.9208,49.833671724137936,49.39987,50.01324,5.908868885057472,4.554506,8.878674,20.598218735632184,19.59168,21.62327
2024-06-27 19:08:1_vID-390,2024-06-27 19:08:17,2024-06-27 19:08:18.032258048,2024-06-27 19:08:19,00:01:19.437145,00:01:18.815000,00:01:20.056000,983228,,,,,,,,,,,,warning,danger,-390,OriginalSmallSedan(Clone)0,1227.2296774193549,17.670742096774195,577.9609967741935,1223.842,17.67052,577.9454,1230.615,17.67096,577.9774,1228.102887096774,17.648761612903225,574.7126112903227,1223.011,17.64712,571.0981,1232.231,17.65113,579.239,19.99053806451613,19.86667,20.0,4.505769322580646,2.17502,8.733308,37.00858177419355,36.22485,37.5126
2024-06-27 19:08:2_vID-1166,2024-06-27 19:08:20,2024-06-27 19:08:20.000000000,2024-06-27 19:08:20,00:01:21.397447,00:01:21.014000,00:01:21.766000,983228,,,,,,,,,,,,warning,danger,-1166,SmallSedanGrey(Clone)4,1228.0433157894738,17.757782368421054,594.4842578947369,1228.021,17.75402,592.4349,1228.067,17.7615,596.5339,1235.3802368421052,17.637947894736843,592.4052263157895,1234.879,17.6331,588.6707,1235.777,17.64547,596.1784,19.94352763157895,19.86667,20.00001,6.829079368421053,6.004971,8.934335,36.791455,36.39943,37.14491
2024-06-27 19:08:2_vID-1360,2024-06-27 19:08:22,2024-06-27 19:08:23.552447488,2024-06-27 19:08:25,00:01:24.966160,00:01:23.559000,00:01:26.403000,983228,,,,,,,,,,,,danger,warning,-1360,SmallSedanPurple(Clone)5,1231.6383356643357,16.57856237762238,630.8094860139861,1231.55,16.12113,622.9623,1231.727,17.01549,638.65,1234.2808391608392,16.395843986013986,631.5870160839161,1233.946,15.38774,614.9584,1234.743,17.26465,649.3341,19.923995594405596,19.72608,20.00052,4.143845727272727,1.122764,9.474014,43.618668041958045,39.49797,47.96721
2024-06-27 19:08:2_vID-1748,2024-06-27 19:08:23,2024-06-27 19:08:24.287878656,2024-06-27 19:08:26,00:01:25.736416,00:01:24.436000,00:01:27.031000,983228,,,,,,,,,,,,danger,warning,-1748,SmallSedanWhite(Clone)7,1231.531856060606,16.02749053030303,640.2864810606061,1231.45,15.60912,633.0286,1231.614,16.45339,647.5417,1234.0844318181817,15.865276363636363,641.1110765151516,1233.905,14.91832,624.8945,1234.406,16.79108,658.2977,19.975538409090912,19.86668,20.00018,4.1504006515151515,1.028491,9.554192,45.94777893939394,41.91409,49.88594
2024-06-27 19:08:3_vID-1554,2024-06-27 19:08:32,2024-06-27 19:08:33.991416320,2024-06-27 19:08:36,00:01:35.393008,00:01:33.085000,00:01:37.723000,983228,,,,,,,,,,,,collision,danger,-1554,SmallSedanRed(Clone)6,1249.4200000000003,13.14295,752.6782815450645,1249.42,13.14295,752.6782,1249.42,13.14295,752.6783,1248.681652360515,13.025426051502146,751.028717167382,1238.803,12.99501,749.9651,1257.593,13.05076,751.4545,6.889784339055794e-05,6.290585e-05,8.737221e-05,3.3670754898866955,0.0,9.432381,15.141037424892703,13.23739,53.82674
2024-06-27 19:08:3_vID-1942,2024-06-27 19:08:31,2024-06-27 19:08:33.084745728,2024-06-27 19:08:35,00:01:34.477801,00:01:32.764000,00:01:36.220000,983228,,,,,,,,,,,,collision,danger,-1942,SmallSedanYellow1(Clone)8,1243.477220338983,13.13815627118644,752.7419841807908,1243.454,13.10388,752.6671,1243.483,13.16286,752.7689,1245.0007514124293,13.020020508474577,750.9390259887006,1235.882,12.99501,745.8271,1251.85,13.04583,751.4545,0.14079818477320905,6.745648e-06,7.852956,2.8434453018683614,0.0,8.746651,19.463906045197742,13.23739,55.59595
2024-06-27 19:08:3_vID-2136,2024-06-27 19:08:33,2024-06-27 19:08:35.116182528,2024-06-27 19:08:38,00:01:36.530498,00:01:34.118000,00:01:38.922000,983228,,,,,,,,,,,,danger,danger,-2136,SmallSedanYellow2(Clone)9,1254.94,13.158199045643153,752.6547,1254.94,13.15815,752.6547,1254.94,13.15823,752.6547,1253.084062240664,13.037400373443983,750.5538282157677,1243.983,13.01608,748.4923,1262.554,13.09801,751.4545,8.097088510373444e-05,6.724233e-05,9.138748e-05,4.051782371369295,0.6047375,9.524613,14.180572904564317,13.23739,15.7962
2024-06-27 19:09:2_vID-1942,2024-06-27 19:09:28,2024-06-27 19:09:28.560439552,2024-06-27 19:09:29,00:02:30.014856,00:02:29.108000,00:02:30.903000,983228,,,,,,,,,,,,collision,danger,-1942,SmallSedanYellow1(Clone)8,1431.9298571428571,16.010484065934065,666.0160021978022,1428.676,15.86753,649.6122,1434.453,16.22017,682.9847,1429.825857142857,15.889824725274726,665.4282813186813,1425.702,15.86967,658.0835,1433.885,15.92551,672.5054,68.66842043956044,55.69112,70.00731,4.02037451978022,0.0,9.397228,33.57099362637363,32.4092,34.81649
2024-06-27 19:09:3_vID-1942,2024-06-27 19:09:30,2024-06-27 19:09:30.000000000,2024-06-27 19:09:30,00:02:30.924999,00:02:30.925000,00:02:30.925000,983228,,,,,,,,,,,,warning,warning,-1942,SmallSedanYellow1(Clone)8,1434.019,15.88907,649.3255,1434.019,15.88907,649.3255,1434.019,15.88907,649.3255,1433.988,15.86976,657.9229,1433.988,15.86976,657.9229,1433.988,15.86976,657.9229,54.5284,54.5284,54.5284,7.097427,7.097427,7.097427,34.48977,34.48977,34.48977
2024-06-27 19:09:5_vID-584,2024-06-27 19:09:55,2024-06-27 19:09:55.647058944,2024-06-27 19:09:56,00:02:57.020411,00:02:56.684000,00:02:57.351000,983228,,,,,,,,,,,,warning,danger,-584,SmallSedanBlue2(Clone)1,1406.4000294117648,15.972112647058823,629.4654205882352,1404.21,15.95972,627.8188,1408.636,15.97959,631.0341,1411.1815000000001,16.011395,623.6538470588235,1409.937,15.98994,621.8933,1412.474,16.02036,625.3981,29.86508323529412,29.50668,30.00003,6.542063676470588,6.017946,7.732818,23.64516617647059,23.49009,23.75787
2024-06-27 19:10:0_vID-972,2024-06-27 19:10:00,2024-06-27 19:10:00.000000000,2024-06-27 19:10:00,00:03:01.079277,00:03:00.913000,00:03:01.245000,983228,,,,,,,,,,,,warning,danger,-972,SmallSedanGreen2(Clone)3,1435.5441111111113,15.892150555555556,638.4009555555556,1434.135,15.88832,638.3547,1436.955,15.89815,638.4341,1427.5775555555556,15.870238333333333,644.7773555555555,1427.436,15.86946,643.6176,1427.671,15.87158,645.9447,29.910378888888886,29.63334,30.00002,8.769268833333333,8.469843,9.339372,24.75126277777778,24.71888,24.8013
2024-06-27 19:10:1_vID-1554,2024-06-27 19:10:13,2024-06-27 19:10:13.000000000,2024-06-27 19:10:13,00:03:14.188230,00:03:14.079000,00:03:14.288000,983228,,,,,,,,,,,,warning,danger,-1554,SmallSedanRed(Clone)6,1423.1606923076922,17.723154615384615,732.0122384615386,1422.717,17.68842,729.7374,1423.606,17.74095,734.2808,1414.3551538461538,17.630759230769232,734.3498692307693,1414.041,17.6293,733.69,1414.659,17.63217,735.0049,69.77410923076924,69.40008,70.00883,7.660628923076923,7.20678,8.281096,21.87970615384615,21.84934,21.9106
2024-06-27 19:10:3_vID-1360,2024-06-27 19:10:34,2024-06-27 19:10:35.644444416,2024-06-27 19:10:37,00:03:37.026785,00:03:35.701000,00:03:38.373000,983228,,,,,,,,,,,,warning,danger,-1360,SmallSedanPurple(Clone)5,1263.3507703703704,13.294823925925925,752.6184962962964,1244.761,13.13935,752.5382,1281.923,13.6942,752.6989,1262.5755703703703,13.11883074074074,746.715005925926,1251.572,13.02355,746.0731,1273.498,13.30597,747.3301,49.90847518518519,49.40667,50.00027,5.8091318888888885,4.337008,9.126927,29.510733185185185,28.95277,29.72171
2024-06-27 19:10:3_vID-2136,2024-06-27 19:10:39,2024-06-27 19:10:39.000000000,2024-06-27 19:10:39,00:03:40.828285,00:03:40.757000,00:03:40.882000,983228,,,,,,,,,,,,warning,danger,-2136,SmallSedanYellow2(Clone)9,1230.463,13.13998,735.1331,1230.463,13.13998,735.1331,1230.463,13.13998,735.1331,1231.930285714286,13.014701428571428,746.0280428571429,1231.458,13.01452,746.0251,1232.403,13.01488,746.0341,2.605717142857143e-05,2.366331e-05,3.196152e-05,9.498437142857144,9.44697,9.56409,28.353302857142857,28.32416,28.37526
