row_id,current_date_time_min,current_date_time_mean,current_date_time_max,time_mean,time_min,time_max,user_id,lanes,is_intersection,is_two_way_street,bike_maneuver,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,real_risk,risk,vehicle_id,vehicle_name,vehicle_position_x_mean,vehicle_position_y_mean,vehicle_position_z_mean,vehicle_position_x_min,vehicle_position_y_min,vehicle_position_z_min,vehicle_position_x_max,vehicle_position_y_max,vehicle_position_z_max,bike_position_x_mean,bike_position_y_mean,bike_position_z_mean,bike_position_x_min,bike_position_y_min,bike_position_z_min,bike_position_x_max,bike_position_y_max,bike_position_z_max,vehicle_speed_mean,vehicle_speed_min,vehicle_speed_max,distance_mean,distance_min,distance_max,bike_speed_mean,bike_speed_min,bike_speed_max
2024-06-27 19:22:4_vID-1554,2024-06-27 19:22:45,2024-06-27 19:22:46.052631552,2024-06-27 19:22:47,00:00:13.002754,00:00:12.446000,00:00:13.572000,961011,,,,,,,,,,,,warning,danger,-1554,SmallSedanRed(Clone)6,1075.9283859649122,16.16801140350877,660.3766929824561,1075.853,16.00718,652.8952,1076.002,16.34587,668.0859,1070.02,16.00920298245614,661.6718052631579,1070.02,16.00878,661.6671,1070.02,16.0095,661.7198,48.76533192982456,45.15244,50.00015,5.9112081052631575,4.39675,9.122507,0.16595367224385965,0.0005845265,1.383248
2024-06-27 19:22:4_vID-2136,2024-06-27 19:22:43,2024-06-27 19:22:43.250000128,2024-06-27 19:22:44,00:00:10.368649,00:00:10.192000,00:00:10.549000,961011,,,,,,,,,,,,warning,warning,-2136,SmallSedanYellow2(Clone)9,1075.8663000000001,16.030364,666.696,1075.852,16.00444,665.311,1075.88,16.05311,668.1389,1070.02,16.034211,661.66809,1070.02,15.97815,661.6657,1070.02,16.14,661.67,26.7064055,25.0,28.41407,6.239228349999999,5.399479,7.212957,1.7611128099999998,0.0,4.31465
2024-06-27 19:23:0_vID-390,2024-06-27 19:23:09,2024-06-27 19:23:09.000000000,2024-06-27 19:23:09,00:00:35.986589,00:00:35.593000,00:00:36.347000,961011,,,,,,,,,,,,danger,danger,-390,OriginalSmallSedan(Clone)0,1071.329641025641,15.740087435897436,806.0213923076923,1071.289,15.72066,800.7469,1071.371,15.76427,811.2952,1073.8808461538463,15.61126282051282,804.694858974359,1073.8,15.5979,800.7213,1073.962,15.62743,808.6971,49.961638717948716,49.66001,50.00002,4.20966758974359,1.076145,9.35067,37.7803258974359,37.35888,38.19247
2024-06-27 19:24:2_vID-1166,2024-06-27 19:24:23,2024-06-27 19:24:23.678571264,2024-06-27 19:24:25,00:01:50.593544,00:01:49.501000,00:01:51.702000,961011,,,,,,,,,,,,danger,warning,-1166,SmallSedanGrey(Clone)4,1429.0785625,15.971617678571429,660.0949285714286,1427.898,15.87173,654.0547,1430.258,16.01814,666.1302,1425.6107589285714,15.91658625,658.8376857142857,1423.841,15.8704,644.3931,1427.078,16.10671,673.6692,19.958342232142858,19.75449,20.00873,4.427423080357142,1.774709,9.143338,48.25862553571428,45.80371,49.06092
